"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 26","34.01","34.87","35.55","33.70","70.93M","-8.38%"
"2024- 01- 25","37.12","39.50","39.53","36.52","82.85M","-0.80%"
"2024- 01- 24","37.42","37.10","38.92","36.26","97.25M","4.18%"
"2024- 01- 23","35.92","35.23","36.01","34.22","50.85M","1.87%"
"2024- 01- 22","35.26","35.68","36.57","34.22","73.32M","1.15%"
"2024- 01- 19","34.86","32.42","34.99","31.90","91.85M","11.77%"
"2024- 01- 18","31.19","30.72","31.31","29.81","99.59M","9.71%"
"2024- 01- 17","28.43","28.37","28.55","26.96","77.08M","-2.60%"
"2024- 01- 16","29.19","28.15","29.83","27.70","77.71M","3.88%"
"2024- 01- 12","28.10","28.58","28.98","27.61","48.99M","-1.26%"
"2024- 01- 11","28.46","28.25","29.04","26.78","77.55M","1.03%"
"2024- 01- 10","28.17","28.64","28.68","27.09","62.53M","-0.88%"
"2024- 01- 09","28.42","27.50","29.14","27.35","67.62M","-0.04%"
"2024- 01- 08","28.43","26.49","28.67","26.43","73.21M","9.64%"
"2024- 01- 05","25.93","25.65","26.62","25.40","73.95M","1.37%"
"2024- 01- 04","25.58","24.96","26.33","24.80","75.07M","-2.55%"
"2024- 01- 03","26.25","26.59","27.05","25.88","62.31M","-6.38%"
"2024- 01- 02","28.04","29.89","29.90","27.25","79.76M","-10.70%"
"2023- 12- 29","31.40","32.17","32.35","30.89","53.30M","-2.55%"
"2023- 12- 28","32.22","32.59","32.78","32.05","34.88M","-0.40%"
"2023- 12- 27","32.35","32.56","32.74","31.84","47.99M","0.59%"
"2023- 12- 26","32.16","30.93","32.53","30.91","48.62M","5.41%"
"2023- 12- 22","30.51","30.62","31.08","29.88","42.66M","0.83%"
"2023- 12- 21","30.26","29.75","30.41","29.35","62.02M","7.69%"
"2023- 12- 20","28.10","30.20","30.62","28.05","59.56M","-8.62%"
"2023- 12- 19","30.75","30.33","30.98","30.29","39.36M","1.52%"
"2023- 12- 18","30.29","30.56","30.71","29.46","46.10M","-0.92%"
"2023- 12- 15","30.57","30.46","31.59","30.35","66.92M","1.26%"
"2023- 12- 14","30.19","28.62","30.49","28.61","86.50M","8.13%"
"2023- 12- 13","27.92","26.70","28.40","26.42","80.99M","4.77%"
"2023- 12- 12","26.65","25.75","26.72","25.60","55.75M","2.07%"
"2023- 12- 11","26.11","24.39","26.38","24.31","80.77M","10.17%"
"2023- 12- 08","23.70","23.01","24.04","22.95","69.29M","2.24%"
"2023- 12- 07","23.18","22.02","23.40","21.82","77.34M","7.96%"
"2023- 12- 06","21.47","22.83","22.89","21.41","60.12M","-2.10%"
"2023- 12- 05","21.93","21.68","22.08","21.34","51.98M","-1.70%"
"2023- 12- 04","22.31","22.36","22.44","21.29","55.77M","-3.29%"
"2023- 12- 01","23.07","22.38","23.20","21.84","54.91M","1.14%"
"2023- 11- 30","22.81","23.45","23.47","22.19","58.91M","-1.77%"
"2023- 11- 29","23.22","23.46","24.30","23.14","69.26M","3.02%"
"2023- 11- 28","22.54","22.50","22.89","21.97","53.55M","-1.87%"
"2023- 11- 27","22.97","22.79","23.54","22.60","40.67M","-0.52%"
"2023- 11- 24","23.09","22.97","23.15","22.75","21.93M","0.39%"
"2023- 11- 22","23.00","23.23","24.11","22.82","65.04M","0.70%"
"2023- 11- 21","22.84","23.57","23.60","22.45","63.30M","-5.54%"
"2023- 11- 20","24.18","23.09","24.42","23.05","57.23M","4.54%"
"2023- 11- 17","23.13","22.47","23.29","22.37","54.24M","1.80%"
"2023- 11- 16","22.72","22.37","22.91","22.14","61.40M","0.40%"
"2023- 11- 15","22.63","22.61","23.18","22.17","78.03M","2.21%"
"2023- 11- 14","22.14","21.51","22.39","21.38","94.38M","10.59%"
"2023- 11- 13","20.02","20.11","20.20","19.58","57.46M","-2.82%"
"2023- 11- 10","20.60","19.06","20.78","18.83","95.88M","12.02%"
"2023- 11- 09","18.39","19.04","19.70","18.28","75.78M","-1.50%"
"2023- 11- 08","18.67","18.66","18.96","18.28","50.27M","0.38%"
"2023- 11- 07","18.60","18.16","18.88","18.06","56.72M","1.92%"
"2023- 11- 06","18.25","18.45","18.64","17.73","52.67M","-0.71%"
"2023- 11- 03","18.38","17.60","18.76","17.50","88.07M","7.61%"
"2023- 11- 02","17.08","16.90","17.41","16.38","89.97M","7.08%"
"2023- 11- 01","15.95","14.95","16.02","14.93","100.04M","7.05%"
"2023- 10- 31","14.90","14.54","15.03","14.01","75.87M","2.55%"
"2023- 10- 30","14.53","14.82","15.11","14.02","104.35M","-3.77%"
"2023- 10- 27","15.10","15.30","15.57","14.93","91.51M","2.51%"
"2023- 10- 26","14.73","15.13","15.68","14.48","101.81M","-1.60%"
"2023- 10- 25","14.97","16.38","16.52","14.71","107.44M","-12.15%"
